period,retail_all,retail_food,retail_nonfood,retail_online,retail_fuel,year,month
2009-09-01,0.8,4.2,-1.0,13.4,-8.5,2009,9
2009-10-01,2.9,3.3,2.4,12.1,0.1,2009,10
2009-11-01,63.4,66.4,71.9,23.8,70.4,2009,11
2009-12-01,63.1,66.7,71.7,22.6,68.8,2009,12
2010-01-01,61.6,66.9,68.2,22.6,66.2,2010,1
2010-02-01,4.0,0.9,5.1,17.3,6.6,2010,2
2010-03-01,3.6,0.6,4.0,13.2,10.5,2010,3
2010-04-01,64.0,67.4,72.4,23.3,71.7,2010,4
2010-05-01,64.1,67.7,72.4,23.1,71.6,2010,5
2010-06-01,2.7,1.3,3.1,10.2,3.3,2010,6
2010-07-01,2.6,0.9,2.7,11.2,5.9,2010,7
2010-08-01,64.5,67.2,73.6,25.2,70.1,2010,8
2010-09-01,64.1,67.3,72.8,24.9,69.6,2010,9
2010-10-01,64.7,67.8,73.0,25.2,72.5,2010,10
2010-11-01,3.0,3.4,1.6,4.0,6.3,2010,11
2010-12-01,2.6,2.0,1.3,13.2,5.6,2010,12
2011-01-01,7.8,2.6,8.5,17.5,21.8,2011,1
2011-02-01,4.7,3.3,1.5,16.0,19.1,2011,2
2011-03-01,4.9,5.0,1.1,11.1,17.3,2011,3
2011-04-01,6.0,5.3,3.0,12.1,17.7,2011,4
2011-05-01,66.6,69.3,73.2,26.8,83.6,2011,5
2011-06-01,66.7,69.5,72.8,27.8,83.5,2011,6
2011-07-01,67.3,70.6,73.2,27.7,83.7,2011,7
2011-08-01,67.3,71.0,72.7,28.3,83.2,2011,8
2011-09-01,67.7,71.4,73.2,28.3,84.3,2011,9
2011-10-01,68.3,71.7,74.2,28.3,85.6,2011,10
2011-11-01,68.2,71.3,73.1,29.4,88.8,2011,11
2011-12-01,6.1,5.8,1.5,14.4,22.6,2011,12
2012-01-01,3.2,4.0,0.3,9.2,8.5,2012,1
2012-02-01,3.1,5.2,-0.5,8.5,6.0,2012,2
2012-03-01,69.9,72.0,76.1,29.3,92.3,2012,3
2012-04-01,68.4,72.1,74.1,29.6,82.9,2012,4
2012-05-01,68.6,72.1,74.3,30.2,83.2,2012,5
2012-06-01,68.3,72.1,74.9,29.4,78.7,2012,6
2012-07-01,68.4,71.9,74.4,31.0,80.8,2012,7
2012-08-01,68.8,72.8,74.8,29.1,82.7,2012,8
2012-09-01,69.5,73.0,75.0,30.6,86.3,2012,9
2012-10-01,69.1,72.6,74.7,31.2,83.8,2012,10
2012-11-01,0.9,2.3,1.5,5.5,-8.1,2012,11
2012-12-01,0.6,1.4,0.9,14.1,-9.4,2012,12
2013-01-01,0.7,3.3,-0.8,13.1,-9.0,2013,1
2013-02-01,3.1,1.9,4.2,17.9,-3.4,2013,2
2013-03-01,69.7,73.6,73.9,34.4,84.8,2013,3
2013-04-01,69.4,73.4,74.4,33.7,81.9,2013,4
2013-05-01,70.2,74.1,75.6,34.6,80.8,2013,5
2013-06-01,3.6,2.9,2.0,21.0,3.6,2013,6
2013-07-01,4.0,5.3,1.2,15.7,3.4,2013,7
2013-08-01,2.9,2.4,0.6,28.5,0.9,2013,8
